brand_name,generic_name,drug_class,Company_Name,Study_Name,Journal,Publication_Year,Level_of_Evidence
Dorsun,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sun ways India,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorsun,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sun ways India,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorsun,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Sun ways India,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Travosun,Travoprost,Prostaglandinanalog,Sun ways India,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travosun,Travoprost,Prostaglandinanalog,Sun ways India,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travosun,Travoprost,Prostaglandinanalog,Sun ways India,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Brimoz T,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Zeelab Pharmacy,Brimonidine/Timolol Fixed Combination Study,Archives of Ophthalmology,2005,Level I
Brimoz T,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Zeelab Pharmacy,Brimonidine/Timolol Fixed Combination versus Timolol Monotherapy in Patients with Glaucoma or Ocular Hypertension,Archives of Ophthalmology,2005,Level I
Ocupres,Betaxolol,Betablocker,Zydus Pharma,Betaxolol vs Timolol in Primary Open-Angle Glaucoma,Archives of Ophthalmology,1988,Level I
Ocupres,Betaxolol,Betablocker,Zydus Pharma,Betaxolol versus Timolol in Patients with Primary Open-Angle Glaucoma: A One-Year Multicenter Trial,American Journal of Ophthalmology,1990,Level I
Ocupres,Betaxolol,Betablocker,Zydus Pharma,Long-Term Comparison of Betaxolol and Timolol in Chronic Open-Angle Glaucoma,Ophthalmology,1992,Level I
Xalatan,Latanoprost,Prostaglandinanalog,viatris,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
Xalatan,Latanoprost,Prostaglandinanalog,viatris,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
Xalatan,Latanoprost,Prostaglandinanalog,viatris,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
